A,k,func_values
2.8e-06,1256.6371,9945.6045
2.8e-06,1413.7167,9969.848
2.8e-06,1570.7964,9996.455
2.8e-06,1727.8761,10018.812
2.8e-06,1884.9557,10028.534
2.8e-06,2042.0353,10026.787
2.8e-06,2199.115,10016.842
2.8e-06,2356.1946,10004.406
2.8e-06,2513.2742,9993.55
2.9e-06,157.07964,10146.106
2.9e-06,314.15927,10103.685
2.9e-06,471.23892,10051.405
2.9e-06,628.31854,9991.692
2.9e-06,785.3982,9942.272
2.9e-06,942.47784,9922.5
2.9e-06,1099.5575,9926.483
2.9e-06,1256.6371,9943.528
2.9e-06,1413.7167,9968.831
2.9e-06,1570.7964,9996.756
2.9e-06,1727.8761,10019.55
2.9e-06,1884.9557,10029.489
2.9e-06,2042.0353,10027.639
2.9e-06,2199.115,10017.43
2.9e-06,2356.1946,10004.6045
2.9e-06,2513.2742,9993.015
2.9999999e-06,157.07964,10151.721
2.9999999e-06,314.15927,10108.014
2.9999999e-06,471.23892,10053.119
2.9999999e-06,628.31854,9992.084
2.9999999e-06,785.3982,9941.13
2.9999999e-06,942.47784,9919.868
2.9999999e-06,1099.5575,9923.652
2.9999999e-06,1256.6371,9941.675
2.9999999e-06,1413.7167,9967.64
2.9999999e-06,1570.7964,9996.94
2.9999999e-06,1727.8761,10020.288
2.9999999e-06,1884.9557,10030.792
2.9999999e-06,2042.0353,10028.4375
2.9999999e-06,2199.115,10017.918
2.9999999e-06,2356.1946,10004.604
2.9999999e-06,2513.2742,9992.783
3.1000002e-06,157.07964,10156.741
3.1000002e-06,314.15927,10112.356
3.1000002e-06,471.23892,10054.222
3.1000002e-06,628.31854,9992.997
3.1000002e-06,785.3982,9940.114
3.1000002e-06,942.47784,9917.333
3.1000002e-06,1099.5575,9920.776
3.1000002e-06,1256.6371,9939.384
3.1000002e-06,1413.7167,9966.921
3.1000002e-06,1570.7964,9997.307
3.1000002e-06,1727.8761,10021.026
3.1000002e-06,1884.9557,10031.932
3.1000002e-06,2042.0353,10029.265
3.1000002e-06,2199.115,10018.3
3.1000002e-06,2356.1946,10004.436
3.1000002e-06,2513.2742,9992.531
3.2e-06,157.07964,10161.892
3.2e-06,314.15927,10116.792
3.2e-06,471.23892,10054.835
3.2e-06,628.31854,9993.924
3.2e-06,785.3982,9939.298
3.2e-06,942.47784,9914.717
3.2e-06,1099.5575,9917.823
3.2e-06,1256.6371,9937.495
3.2e-06,1413.7167,9966.55
3.2e-06,1570.7964,9997.667
3.2e-06,1727.8761,10021.909
3.2e-06,1884.9557,10033.078
3.2e-06,2042.0353,10030.229
3.2e-06,2199.115,10018.778
3.2e-06,2356.1946,10004.653
3.2e-06,2513.2742,9992.277
3.3e-06,157.07964,10167.449
3.3e-06,314.15927,10121.229
3.3e-06,471.23892,10055.204
3.3e-06,628.31854,9994.357
3.3e-06,785.3982,9938.339
3.3e-06,942.47784,9912.37
3.3e-06,1099.5575,9914.888
3.3e-06,1256.6371,9936.562
3.3e-06,1413.7167,9966.397
3.3e-06,1570.7964,9997.755
3.3e-06,1727.8761,10022.846
3.3e-06,1884.9557,10033.06
3.3e-06,2042.0353,10030.201
3.3e-06,2199.115,10019.18
3.3e-06,2356.1946,10004.478
3.3e-06,2513.2742,9991.905
3.4e-06,157.07964,10172.737
3.4e-06,314.15927,10125.28
3.4e-06,471.23892,10056.059
3.4e-06,628.31854,9994.975
3.4e-06,785.3982,9936.544
3.4e-06,942.47784,9910.042
3.4e-06,1099.5575,9912.573
3.4e-06,1256.6371,9933.155
3.4e-06,1413.7167,9965.981
3.4e-06,1570.7964,9998.108
3.4e-06,1727.8761,10023.786
3.4e-06,1884.9557,10034.246
3.4e-06,2042.0353,10032.202
3.4e-06,2199.115,10019.761
3.4e-06,2356.1946,10004.489
3.4e-06,2513.2742,9991.604
3.4999998e-06,157.07964,10177.886
3.4999998e-06,314.15927,10128.322
3.4999998e-06,471.23892,10056.5205
3.4999998e-06,628.31854,9995.51
3.4999998e-06,785.3982,9935.092
3.4999998e-06,942.47784,9907.89
3.4999998e-06,1099.5575,9909.616
3.4999998e-06,1256.6371,9930.957
3.4999998e-06,1413.7167,9965.687
3.4999998e-06,1570.7964,9998.296
3.4999998e-06,1727.8761,10024.568
3.4999998e-06,1884.9557,10036.411
3.4999998e-06,2042.0353,10033.418
3.4999998e-06,2199.115,10020.2295
3.4999998e-06,2356.1946,10004.413
3.4999998e-06,2513.2742,9991.276
3.6e-06,157.07964,10183.994
3.6e-06,314.15927,10132.55
3.6e-06,471.23892,10057.103
3.6e-06,628.31854,9995.923
3.6e-06,785.3982,9933.706
3.6e-06,942.47784,9905.378
3.6e-06,1099.5575,9907.009
3.6e-06,1256.6371,9928.399
3.6e-06,1413.7167,9965.268
3.6e-06,1570.7964,9998.589
3.6e-06,1727.8761,10025.565
3.6e-06,1884.9557,10036.618
3.6e-06,2042.0353,10034.419
3.6e-06,2199.115,10020.708
3.6e-06,2356.1946,10004.644
3.6e-06,2513.2742,9990.95
3.7e-06,157.07964,10190.009
3.7e-06,314.15927,10137.166
