A,k,func_values
0.00032,1884.9557,14858.886
0.00032,2042.0353,14149.641
0.00032,2199.115,12595.218
0.00032,2356.1946,10975.823
0.00032,2513.2742,9810.647
0.00033,157.07964,37286.03
0.00033,314.15927,28296.193
0.00033,471.23892,18065.447
0.00033,628.31854,10130.803
0.00033,785.3982,5706.8687
0.00033,942.47784,4122.8467
0.00033,1099.5575,4404.7676
0.00033,1256.6371,6091.9414
0.00033,1413.7167,8859.602
0.00033,1570.7964,11946.812
0.00033,1727.8761,14257.983
0.00033,1884.9557,15038.984
0.00033,2042.0353,14298.8125
0.00033,2199.115,12685.016
0.00033,2356.1946,11009.422
0.00033,2513.2742,9805.908
0.00034000003,157.07964,38405.97
0.00034000003,314.15927,29032.957
0.00034000003,471.23892,18353.2
0.00034000003,628.31854,10139.206
0.00034000003,785.3982,5602.6987
0.00034000003,942.47784,4004.084
0.00034000003,1099.5575,4303.8228
0.00034000003,1256.6371,6026.5806
0.00034000003,1413.7167,8863.414
0.00034000003,1570.7964,12036.245
0.00034000003,1727.8761,14419.51
0.00034000003,1884.9557,15221.542
0.00034000003,2042.0353,14448.433
0.00034000003,2199.115,12776.347
0.00034000003,2356.1946,11042.28
0.00034000003,2513.2742,9800.906
0.00035000002,157.07964,39491.715
0.00035000002,314.15927,29753.623
0.00035000002,471.23892,18646.95
0.00035000002,628.31854,10148.075
0.00035000002,785.3982,5499.586
0.00035000002,942.47784,3890.806
0.00035000002,1099.5575,4205.928
0.00035000002,1256.6371,5966.1416
0.00035000002,1413.7167,8867.112
0.00035000002,1570.7964,12129.241
0.00035000002,1727.8761,14583.401
0.00035000002,1884.9557,15405.909
0.00035000002,2042.0353,14600.374
0.00035000002,2199.115,12866.693
0.00035000002,2356.1946,11076.742
0.00035000002,2513.2742,9796.597
0.00036000003,157.07964,40639.53
0.00036000003,314.15927,30492.135
0.00036000003,471.23892,18935.562
0.00036000003,628.31854,10157.964
0.00036000003,785.3982,5400.173
0.00036000003,942.47784,3780.4727
0.00036000003,1099.5575,4112.3965
0.00036000003,1256.6371,5906.75
0.00036000003,1413.7167,8872.26
0.00036000003,1570.7964,12223.346
0.00036000003,1727.8761,14748.46
0.00036000003,1884.9557,15592.106
0.00036000003,2042.0353,14752.147
0.00036000003,2199.115,12959.048
0.00036000003,2356.1946,11109.816
0.00036000003,2513.2742,9793.038
0.00037,157.07964,41811.168
0.00037,314.15927,31246.725
0.00037,471.23892,19232.713
0.00037,628.31854,10166.69
0.00037,785.3982,5299.994
0.00037,942.47784,3670.1204
0.00037,1099.5575,4027.0662
0.00037,1256.6371,5848.5674
0.00037,1413.7167,8881.093
0.00037,1570.7964,12319.106
0.00037,1727.8761,14915.822
0.00037,1884.9557,15778.486
0.00037,2042.0353,14905.8
0.00037,2199.115,13051.538
0.00037,2356.1946,11144.145
0.00037,2513.2742,9788.233
0.00038,157.07964,42983.324
0.00038,314.15927,32022.672
0.00038,471.23892,19536.904
0.00038,628.31854,10174.438
0.00038,785.3982,5201.172
0.00038,942.47784,3565.8774
0.00038,1099.5575,3940.7517
0.00038,1256.6371,5797.055
0.00038,1413.7167,8891.095
0.00038,1570.7964,12419.015
0.00038,1727.8761,15085.604
0.00038,1884.9557,15967.5625
0.00038,2042.0353,15060.583
0.00038,2199.115,13145.175
0.00038,2356.1946,11178.488
0.00038,2513.2742,9784.333
0.00039000003,157.07964,44177.918
0.00039000003,314.15927,32790.168
0.00039000003,471.23892,19842.434
0.00039000003,628.31854,10183.636
0.00039000003,785.3982,5104.15
0.00039000003,942.47784,3464.697
0.00039000003,1099.5575,3859.065
0.00039000003,1256.6371,5746.261
0.00039000003,1413.7167,8904.753
0.00039000003,1570.7964,12516.911
0.00039000003,1727.8761,15256.516
0.00039000003,1884.9557,16159.546
0.00039000003,2042.0353,15215.216
0.00039000003,2199.115,13238.156
0.00039000003,2356.1946,11212.277
0.00039000003,2513.2742,9779.851
0.00040000002,157.07964,45404.57
0.00040000002,314.15927,33553.105
0.00040000002,471.23892,20144.123
0.00040000002,628.31854,10192.753
0.00040000002,785.3982,5008.656
0.00040000002,942.47784,3363.196
0.00040000002,1099.5575,3780.3809
0.00040000002,1256.6371,5702.1343
0.00040000002,1413.7167,8919.202
0.00040000002,1570.7964,12619.656
0.00040000002,1727.8761,15430.593
0.00040000002,1884.9557,16352.472
0.00040000002,2042.0353,15371.721
0.00040000002,2199.115,13332.237
0.00040000002,2356.1946,11247.034
0.00040000002,2513.2742,9775.611
0.00041000004,157.07964,46678.73
0.00041000004,314.15927,34337.84
0.00041000004,471.23892,20450.055
0.00041000004,628.31854,10203.652
0.00041000004,785.3982,4915.65
0.00041000004,942.47784,3270.688
0.00041000004,1099.5575,3709.6484
0.00041000004,1256.6371,5657.472
0.00041000004,1413.7167,8937.739
0.00041000004,1570.7964,12723.627
0.00041000004,1727.8761,15605.5205
0.00041000004,1884.9557,16546.686
0.00041000004,2042.0353,15529.81
0.00041000004,2199.115,13426.763
0.00041000004,2356.1946,11281.66
0.00041000004,2513.2742,9771.636
0.00042000003,157.07964,47939.1
0.00042000003,314.15927,35097.055
0.00042000003,471.23892,20770.576
0.00042000003,628.31854,10212.902
0.00042000003,785.3982,4823.119
0.00042000003,942.47784,3181.2207
0.00042000003,1099.5575,3639.0325
0.00042000003,1256.6371,5617.1714
0.00042000003,1413.7167,8957.64
0.00042000003,1570.7964,12828.617
0.00042000003,1727.8761,15783.047
0.00042000003,1884.9557,16744.24
0.00042000003,2042.0353,15688.921
0.00042000003,2199.115,13521.278
0.00042000003,2356.1946,11316.078
0.00042000003,2513.2742,9767.339
0.00043000001,157.07964,49218.703
0.00043000001,314.15927,35927.83
0.00043000001,471.23892,21097.178
0.00043000001,628.31854,10223.251
0.00043000001,785.3982,4732.3936
0.00043000001,942.47784,3093.988
0.00043000001,1099.5575,3574.7422
0.00043000001,1256.6371,5580.648
0.00043000001,1413.7167,8975.781
0.00043000001,1570.7964,12934.522
0.00043000001,1727.8761,15961.925
0.00043000001,1884.9557,16942.264
0.00043000001,2042.0353,15849.276
0.00043000001,2199.115,13616.739
0.00043000001,2356.1946,11351.947
0.00043000001,2513.2742,9763.457
0.00044000003,157.07964,50505.29
0.00044000003,314.15927,36736.746
0.00044000003,471.23892,21416.617
0.00044000003,628.31854,10233.588
0.00044000003,785.3982,4642.117
0.00044000003,942.47784,3012.864
0.00044000003,1099.5575,3509.4875
0.00044000003,1256.6371,5545.4146
0.00044000003,1413.7167,8998.731
0.00044000003,1570.7964,13043.072
0.00044000003,1727.8761,16143.572
0.00044000003,1884.9557,17142.105
0.00044000003,2042.0353,16011.601
0.00044000003,2199.115,13712.753
0.00044000003,2356.1946,11387.113
0.00044000003,2513.2742,9759.323
0.00045000002,157.07964,51831.168
0.00045000002,314.15927,37555.168
0.00045000002,471.23892,21737.145
0.00045000002,628.31854,10243.697
0.00045000002,785.3982,4555.931
